dwd_dsc_d365_contract_df.id,dwd_dsc_d365_contract_df.sfdhl_contract_customerlegalentity,dwd_dsc_d365_contract_df.sfdhl_scope_text,dwd_dsc_d365_contract_df.sfdhl_contract_term,dwd_dsc_d365_contract_df.sfdhl_contract_contracttype,dwd_dsc_d365_contract_df.sfdhl_contract_startdate,dwd_dsc_d365_contract_df.sfdhl_contract_nextendbreakdate,dwd_dsc_d365_contract_df.sfdhl_contract_countryareaname,dwd_dsc_d365_contract_df.sfdhl_contract_additionallocations,dwd_dsc_d365_contract_df.sfdhl_legal_contactname,dwd_dsc_d365_contract_df.sfdhl_finance_managername,dwd_dsc_d365_contract_df.sfdhl_operation_managername,dwd_dsc_d365_contract_df.sfdhl_contract_costcenter,dwd_dsc_d365_contract_df.sfdhl_other_deviations_from_commercialexpect,dwd_dsc_d365_contract_df.sfdhl_contract_anyliquidateddamagespenalty,dwd_dsc_d365_contract_df.sfdhl_contract_liabilitycap,dwd_dsc_d365_contract_df.sfdhl_contraact_earlyterminationresourceinvest,dwd_dsc_d365_contract_df.sfdhl_contract_contracttermrelated,dwd_dsc_d365_contract_df.sfdhl_contract_sfdscnoticeperioddays,dwd_dsc_d365_contract_df.sfdhl_contract_anyauditrightsfdsc,dwd_dsc_d365_contract_df.sfdhl_contract_diectlossotherthancaliabilitycap,dwd_dsc_d365_contract_df.sfdhl_contract_earlytermination,dwd_dsc_d365_contract_df.sfdhl_contract_anyreimbursementfromthecustomer,dwd_dsc_d365_contract_df.createdon,dwd_dsc_d365_contract_df.modifiedon
无,无惩罚性赔偿，有补偿类赔偿。,"5.2.1	SFDSC就其于本协议项下提供仓储服务过程中造成的货物丢失和/或破损（仓库中无法解释的货物丢失和／或破损除外）而向客户承担的赔偿责任应不超过每个索赔或系列索赔项下  CNY    1 ,000,000       ，且全年累计赔偿总额最高不超过      CNY   5,000,000      ；",,,,,,,,,,,,,,,,,,,,,,
"5.2.2	SFDSC就其于本协议项下提供国内运输服务过程中造成的货物丢失和/或破损而向客户承担的赔偿责任应遵照适用的法律法规的规定。若没有法定的责任限制，SFDSC的赔偿责任应不超过受损、丢失货物毛重每公斤USD20.00，且全年累计赔偿总额最高不超过     CNY  5,000 ,000             ；",,,,,,,,,,,,,,,,,,,,,,,,
"5.2.3	在其他任何情况下（包括仓库中无法解释的货物丢失和／或破损），SFDSC全年的赔偿总额累计不超过   CNY      5,000,000        ；",,,,,,,,,,,,,,,,,,,,,,,,
5.2.4	在任何情况下，SFDSC不应当被要求承担包括但不限于利润损失、销售额损失、市场份额损失、商誉或信誉损失、第三方索赔等在内的任何间接损失；,,,,,,,,,,,,,,,,,,,,,,,,
5.2.5	本协议中的所有责任豁免和责任限制条款均应适用于以合同、侵权（包括过失）、衡平法、复原或以其他任何事项为由提起的任何索赔。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,任何一方可以在任何时候，不据理由，以提前2个月书面通知另一方的方式提前终止本协议,客户应立刻向SFDSC支付：,,,,,,,,,,,,,,,,,
(a) 冗员安置的成本、未折旧完的专项资产或资源费用；,,,,,,,,,,,,,,,,,,,,,,,,
(b) SFDSC因其所作出的租赁承诺而需支付的费用（包括继续履行需支付的费用或提前解约赔偿金、恢复原状费用和拆卸费用）；,,,,,,,,,,,,,,,,,,,,,,,,
(c) 在本协议终止前SFDSC作出任何承诺而需要在协议终止后继续支付的合理成本及费用；,,,,,,,,,,,,,,,,,,,,,,,,
(d) 在操作过渡或交接期间SFDSC继续承担的合理成本及费用；以及,,,,,,,,,,,,,,,,,,,,,,,,
(e) 若本协议是由客户根据第7.1款提前终止或由SFDSC作为第一方根据本协议第7.2款提前终止的，客户还应补偿SFDSC在本协议未被提前终止的情况下在协议剩余期间内本可获得的利润,,,,,,,,,,,,,,,,,,,,,,,,
,2021-11-01T02:46:40.0000000+00:00,2021-11-01T07:55:13Z,,,,,,,,,,,,,,,,,,,,,,
0d165024-0dfb-4010-9d57-149de410c5f1,Forward Transportation Company Limited,Warehousing,2.0,264270000,2021-10-19T00:00:00Z,2021-12-18T00:00:00Z,Hongkong,,,,,,,,"Supplier be under no liability whatsoever and howsoever caused and/or arising and whether in respect of or in connection with the Services, and whether or not there is any negligence, omission, default, wilful neglect, wilful conduct or wilful default on the part of Supplier and its personnel. ",,,,,,,,,
,,,,,,No right to terminate for convenience.,"Customer shall bear and be responsible for compensation due to Supplier which includes lease commitment costs, Facility reinstatement and dismantling costs and where termination is due to early termination by Supplier under Clause 8.1, profits which Supplier could have earned for the remaining term of this Agreement but for such termination.",2021-11-01T03:30:46.0000000+00:00,2021-11-01T03:35:03Z,,,,,,,,,,,,,,,
4e5806e0-3526-41ae-8b3e-3c1b2676acbe,APM Logistics Management Limited,"Value-added service,Warehousing",5.23,264270000,2021-09-15T00:00:00Z,2022-02-21T00:00:00Z,Hongkong,,,,,,,No,N/A for SFSC-HK excludes all liability whatsoever and howsoever caused.,,,,,,Not allowed. Both parties can only terminate with cause immediately by giving written notice to the other party.,"yes, ",,
Customer shall promptly pay Supplier the amounts owed to Supplier hereunder until the date of such expiry or termination; and,,,,,,,,,,,,,,,,,,,,,,,,
"Customer shall bear and be responsible for compensation due to Supplier which includes lease commitment costs, Facility reinstatement and dismantling costs and where termination is due to early termination by Supplier with cause, profits which Supplier could have earned for the remaining term of the contract but for such termination.",,,,,,,,,,,,,,,,,,,,,,,,
,2021-11-01T06:17:43.0000000+00:00,2021-11-01T06:24:54Z,,,,,,,,,,,,,,,,,,,,,,
68a8c3b4-9677-4ce2-b991-93c974919c4d,中国石油天然气股份有限公司大连润滑油分公司,,,,,,,,,,,,,,,,,,,,,,,
,"Transportation,Warehousing",12.0,264270000,2021-11-01T00:00:00Z,2022-10-30T16:00:00Z,Mainland China,,,,,,法务建议：,,,,,,,,,,,,
包装（仓储合同）,,,,,,,,,,,,,,,,,,,,,,,,
1．赔偿责任（1）合同未排除间接损失。（2）没有设定赔偿责任限额,,,,,,,,,,,,,,,,,,,,,,,,
2．解约权,,,,,,,,,,,,,,,,,,,,,,,,
乙方因自身原因无法继续履行合同，乙方可以提前三个月解除合同。,,,,,,,,,,,,,,,,,,,,,,,,
如果甲方管理模式或生产销售有新要求或改变，甲方有权提前1个月提出并终止合同；,,,,,,,,,,,,,,,,,,,,,,,,
甲方管理模式有新要求或改变，而该变化足以实质性影响与中标人签订的合同履行的，招标人有权提前 3 个月提出终止合同的事项。,,,,,,,,,,,,,,,,,,,,,,,,
3. 投资补偿：我司是否有投资资产、租赁或人员等情况？目前合同没有终止后可以获得补偿的条款。,,,,,,,,,,,,,,,,,,,,,,,,
4. 其他（1）客户逾期付款时， SFDSC无留置权 （2）关于账期：付款账期没有明确，付款方式请和财务确认。,,,,,,,,,,,,,,,,,,,,,,,,
"是否需要上LEVEL B, 请咨询CCM, 法务这边目前有两点，未排除间接损失，没有责任上限。",,,,,,,,,,,,,,,,,,,,,,,,
运输合同,,,,,,,,,,,,,,,,,,,,,,,,
1.赔偿责任（3）货损计价基础为市场价格（4）合同未排除间接损失。（5）没有设定赔偿责任限额,,,,,,,,,,,,,,,,,,,,,,,,
2.解约权,,,,,,,,,,,,,,,,,,,,,,,,
（1）甲方管理模式有新要求或改变，而该变化足以实质性影响与中标人签订的合同履行的，招标人有权提前 1 个月提出终止合同的事项。,,,,,,,,,,,,,,,,,,,,,,,,
（2）如果甲方管理模式或生产销售有新要求或改变，甲方有权提前1～3个月提出并终止合同；,,,,,,,,,,,,,,,,,,,,,,,,
（3）乙方因自身原因无法继续履行合同，有权提前 3 个月通知甲方终止合同。,,,,,,,,,,,,,,,,,,,,,,,,
3.投资补偿：我司是否有投资资产、租赁或人员等情况？目前合同没有终止后可以获得补偿的条款。,,,,,,,,,,,,,,,,,,,,,,,,
4. 其他（1）客户逾期付款时， SFDSC无留置权 （2）关于账期：付款账期没有明确，付款方式请和财务确认。,,,,,,,,,,,,,,,,,,,,,,,,
"是否需要上LEVEL B, 请咨询CCM, 法务这边目前有两点，未排除间接损失，没有责任上限。",,,,,,,,,,,,,,,,,,,,,,,,
风控建议：,,,,,,,,,,,,,,,,,,,,,,,,
一、赔偿责任限额：,,,,,,,,,,,,,,,,,,,,,,,,
"a)对于运输服务，合同未约定赔偿责任上限，即SF DSC须对货物损失承担全额赔偿责任；但是鉴于单次运输货物的最大货值为CNY360,000，SF DSC的物流责任保险可以对货物损失超过免赔额（每次事故CNY 100,000）的部分全额赔偿。",,,,,,,,,,,,,,,,,,,,,,,,
"b)对于仓储服务，合同未约定赔偿责任上限，即SF DSC须对货物损失承担全额赔偿责任；但是鉴于仓储货物的最大货值为CNY36,000,000，SF DSC的物流责任保险可以对货物损失超过免赔额（每次事故CNY 100,000或损失金额的10%，以高者为准）的部分全额赔偿。",,,,,,,,,,,,,,,,,,,,,,,,
二、赔偿计价基础：,,,,,,,,,,,,,,,,,,,,,,,,
合同约定货物损失赔偿的计价基础为“市场价格”，其中包含了客户的销售利润，而销售利润属于“间接损失”，由SF DSC承担不合理。,,,,,,,,,,,,,,,,,,,,,,,,
三、保险要求：,,,,,,,,,,,,,,,,,,,,,,,,
"合同约定“具有合同期内的有效商业货物保险，且投保金额不低于单车30万元"",据线下沟通，还需后期与客户确认为我司的物流责任保险还是需要代客户购买货物运输保险。",,,,,,,,,,,,,,,,,,,,,,,,
四、理赔要求：,,,,,,,,,,,,,,,,,,,,,,,,
合同要求”在保险公司赔偿之前按照市场价格进行先期全额快速赔付”，的理赔流程要求不合理，因为如果SF DSC先行赔付，那么将来货物保险公司最终的理赔金额与SF DSC实际支付给客户的赔款之间的差额将只能由SF DSC自行承担。,,,,,,,,,,,,,,,,,,,,,,,,
五、不可保风险：,,,,,,,,,,,,,,,,,,,,,,,,
a)SF DSC的物流责任保险不赔偿间接损失。,,,,,,,,,,,,,,,,,,,,,,,,
b)SF DSC的物流责任保险不赔偿违约金和/或KPI罚金。,,合同未约定赔偿责任上限,,,,,,（1）甲方管理模式有新要求或改变，而该变化足以实质性影响与中标人签订的合同履行的，招标人有权提前 1 个月提出终止合同的事项。,,,,,,,,,,,,,,,,
（2）如果甲方管理模式或生产销售有新要求或改变，甲方有权提前1～3个月提出并终止合同；,,,,,,,,,,,,,,,,,,,,,,,,
（3）乙方因自身原因无法继续履行合同，有权提前 3 个月通知甲方终止合同。,,,,,,,,,,,,,,,,,,,,,,,,
,,2021-11-02T02:17:53.0000000+00:00,2021-11-05T05:48:39Z,,,,,,,,,,,,,,,,,,,,,
f2e8eadb-e983-49a9-9ccf-f035748fe26c,广州市怡佳货运代理有限公司,,0.34,264270000,2021-10-19T16:00:00Z,2021-10-29T16:00:00Z,Mainland China,,,,,,,,,,,,,,,,2021-11-02T06:36:59.0000000+00:00,2021-11-05T02:03:19Z
6e0765fc-f86f-4902-8675-111a3cf9281d,通力电梯有限公司,Other service,12.0,264270000,2021-10-01T00:00:00Z,2022-09-30T00:00:00Z,Mainland China,,,,,,法务意见：,,,,,,,,,,,
本合同项下SFDSC向客户提供“软件即服务”（SaaS），采用客户合同模板，法务提示如下：,,,,,,,,,,,,,,,,,,,,,,,,
1.赔偿责任：,,,,,,,,,,,,,,,,,,,,,,,,
1）本协议项下SFDSC应承担的与本协议相关或因本协议而产生的直接损害的最大总赔偿责任应限于系统租赁费金额。,,,,,,,,,,,,,,,,,,,,,,,,
2）任何一方不对其他方的任何结果性或间接损失负责。,,,,,,,,,,,,,,,,,,,,,,,,
3）本协议项下的责任限制不适用于以下原因引起的损害或损失：1）死亡或人身伤害；2）违反保密义务；3）故意不当行为；4）违反附件4（数据处理协议）中规定的义务；5）违反附录5（安全要求）规定的义务；6）数据丢失；7）违反附件3（KONE供应商行为守则）；或8）严重疏忽或故意不当行为。,,,,,,,,,,,,,,,,,,,,,,,,
2. 提前解约：客户有权提前90天发出书面通知，随时终止本协议。,,,,,,,,,,,,,,,,,,,,,,,,
3. 终止补偿：合同无明确约定。,,,,,,,,,,,,,,,,,,,,,,,,
4.逾期付款救济：合同约定逾期付款利息计算方法，以及构成严重违约的可触发违约解除。,,,,,,,,,,,,,,,,,,,,,,,,
5.知识产权：目前我方提议的条款是除了本协议项下SaaS服务以外，本协议并不涉及任何知识产权的转让和许可。,,,,,,,,,,,,,,,,,,,,,,,,
6.其他：,,,,,,,,,,,,,,,,,,,,,,,,
1）分包需获得客户的事先同意。,,,,,,,,,,,,,,,,,,,,,,,,
2）SFDSC无权对6个月前执行的任何服务开具发票。,,,,,,,,,,,,,,,,,,,,,,,,
3）SFDSC被要求遵守客户的合规文件（KONE供应商行为准则等）、数据处理协议、安全要求等。需征询合规同事的意见。,,,,,,,,,,,,,,,,,,,,,,,,
4）本协议中关于“终止过渡服务”的要求，请商务考量。例如：客户有权在终止后12个月内请求”终止过渡服务“，且约定众多不可收费的情形。,,,,,,,,,,,,,,,,,,,,,,,,
5）客户有审计权，包括服务系统、内控、簿记记录、数据安全程序等。,,,,,,,,,,,,,,,,,,,,,,,,
风控意见：,,,,,,,,,,,,,,,,,,,,,,,,
SF DSC目前没有保险可以保障此IT项目。,,,,,,,,,,,,,,,,,,,,,,,,
,3.2.3	未达到商定的服务水平应受到服务信用值方面的处罚，即削减适用的服务费用，或者单独支付处罚，此外，供应商还有尽快纠正与商定服务水平的任何和所有偏差的基本义务，客户不承担任何额外费用。,,,,,,,,,,,,,,,,,,,,,,,
3.2.4	根据主要规则，服务信用值或处罚应以每月服务费的一定百分比的形式商定。服务信用值/处罚的百分比应根据不合规的严重程度进行调整，例如服务延迟的持续时间或服务中断的持续时间。此外，服务信用值应根据商定的服务水平中的任何重复缺陷进行调整。,本协议项下SFDSC应承担的与本协议相关或因本协议而产生的直接损害的最大总赔偿责任应限于系统租赁费金额。,,,,,,,,,,,,,,,,,,,,,,,
本协议项下的责任限制不适用于以下原因引起的损害或损失：1）死亡或人身伤害；2）违反保密义务；3）故意不当行为；4）违反附件4（数据处理协议）中规定的义务；5）违反附录5（安全要求）规定的义务；6）数据丢失；7）违反附件3（KONE供应商行为守则）；或8）严重疏忽或故意不当行为。,,,,,,客户有权提前90天发出书面通知，随时终止本协议。,合同未提及,2021-11-04T02:49:54.0000000+00:00,2021-11-05T06:53:27Z,,,,,,,,,,,,,,,
3ee4ba49-25b6-4ef9-b25e-399bddafebb0,上海东霖供应链有限公司,,12.0,264270000,2021-09-30T16:00:00Z,2022-09-29T16:00:00Z,Mainland China,,,,,,,,,,,,,,,,2021-11-04T06:43:32.0000000+00:00,2021-11-05T03:20:06Z
73a2097a-2d1a-4682-bb72-2ba0c89b8831,世楷国际物流（上海）有限公司,,12.0,264270000,2021-09-30T16:00:00Z,2022-09-29T16:00:00Z,Mainland China,,,,,,,,,,,,,,,,2021-11-04T06:49:27.0000000+00:00,2021-11-05T03:10:07Z
404c22b0-70f4-4c04-b778-780160f58b95,上海升煌国际货运代理有限公司,,12.0,264270000,2021-09-30T16:00:00Z,2022-09-29T16:00:00Z,Mainland China,,,,,,,,,,,,,,,,2021-11-04T07:02:12.0000000+00:00,2021-11-05T08:52:30Z
34e0c912-3b97-42d2-99c6-56a8044e916c,华为数字能源技术有限公司,"Customs,Warehousing",22.53,264270000,2021-11-15T00:00:00Z,2023-09-30T00:00:00Z,Mainland China,,,,,,法务：本合同条款与华为泛网络保税仓合同条款一致。,,,,,,,,,,,
风险管理部：该LSA适用之前签署的MPA，参考两份协议提示风险如下：,,,,,,,,,,,,,,,,,,,,,,,,
"1、赔偿责任：对于仓储服务，SF DSC须对由于自身重大过失或故意行为导致的货物损失承担全额赔偿责任；SF DSC的物流责任保险对货物损失承担的赔偿最多只能达到每次事故CNY 300,000,000，但是HUAWEI仓储货物的最大货值通常都会超过CNY 300,000,000，超出部分将由分承包商和/或BG的P&L自行承担。",,,,,,,,,,,,,,,,,,,,,,,,
"2、其他可保风险：对于由SF DSC照看、保管和控制的属于客户的非货物“托管财产”，SF DSC的商业综合责任保险提供的保障最多只有每次事故及累计人民币1,300,000。",,,,,,,,,,,,,,,,,,,,,,,,
3、不可保风险：,,,,,,,,,,,,,,,,,,,,,,,,
a）SF DSC的物流责任保险不赔偿存货盘点损失和/或神秘失踪。,,,,,,,,,,,,,,,,,,,,,,,,
b）SF DSC的物流责任保险不赔偿违约金和/或KPI罚金。,,,,,,,,,,,,,,,,,,,,,,,,
c）SF DSC没有保险可以赔偿违反保密义务的责任。,,,,,,,,,,,,,,,,,,,,,,,,
d）SF DSC没有保险可以赔偿违反知识产权义务的责任。 ,,,,,,,,,,,,,,,,,,,,,,,,
e）SF DSC没有保险可以赔偿违反廉洁诚信/反贪污受贿义务的责任。  ,"There is penalty for KPI failure, if KPI score = C, penalty if 0.5% of monthly billing amount, if KPI score = D, penalty if 1% of monthly billing amount","就本合同项下承担的违约赔偿责任，双方应当约定赔偿上限，则乙方就其提供的服务给甲方造成的损失，每次事故赔偿金额不应超过人民币【二百（200.00）】万元，每个合约年度赔偿总额不应超过人民币 【一千五百五十（1,550.00）】万元。相关货损的赔偿应以货物的采购成本（不含税）或生产制造成本为准，货物部分损坏的，则按损坏比例予以相应折算。如仅造成货物外包装破损的，则乙方仅就外包装的置换成本予以赔偿。",,但以下情形不适用赔偿上限：供应商违反保密义务；供应商存在故意或重大过失违约；发生人身伤亡或财产损失；涉及知识产权侵权赔偿，或依据适用法律不得设定责任限额的其他情形。,90,No,"(2)	就供应商在本合同项下承担的违约赔偿责任，双方约定赔偿上限。供应商就其提供的服务给华为造成的损失，每次事故赔偿金额不应超过人民币【二百（200.00）】万元，每个合约年度赔偿总额不应超过人民币 【一千五百五十（1,550.00）】万元。如无特别约定，相关货损的赔偿应以货物的采购成本（不含税）或生产制造成本为准，货物部分损坏的，则按损坏比例予以相应折算。如仅造成货物外包装破损的，则乙方仅就外包装的置换成本予以赔偿。","Yes, customer can terminate for convenience with 90 days advance notification","No, as this contract do not have big investment.",2021-11-05T05:35:42.0000000+00:00,2021-11-05T06:31:32Z,,,,,,,,,,,,,
6572d072-12f5-42a5-8c7b-78c4b5deb4f4,上海美畅国际物流有限公司,,12.0,264270000,2021-07-31T16:00:00Z,2022-07-29T16:00:00Z,Mainland China,,,,,,,,,,,,,,,,2021-11-05T07:33:21.0000000+00:00,2021-11-05T07:45:11Z
d1229d93-c3a8-47f7-b6c7-56498714dfa7,中国石油天然气股份有限公司大连润滑油分公司,Warehousing,12.0,264270000,2021-11-01T00:00:00Z,2022-10-31T00:00:00Z,Mainland China,,,,,,法务建议：,,,,,,,,,,,
1．	赔偿责任,,,,,,,,,,,,,,,,,,,,,,,,
（1）	合同未排除间接损失。,,,,,,,,,,,,,,,,,,,,,,,,
（2）	没有设定赔偿责任限额,,,,,,,,,,,,,,,,,,,,,,,,
2．	 解约权,,,,,,,,,,,,,,,,,,,,,,,,
	乙方因自身原因无法继续履行合同，乙方可以提前三个月解除合同。,,,,,,,,,,,,,,,,,,,,,,,,
	如果甲方管理模式或生产销售有新要求或改变，甲方有权提前1-3个月提出并终止合同；,,,,,,,,,,,,,,,,,,,,,,,,
	甲方管理模式有新要求或改变，而该变化足以实质性影响与中标人签订的合同履行的，招标人有权提前 3 个月提出终止合同的事项。,,,,,,,,,,,,,,,,,,,,,,,,
3.	投资补偿：,,,,,,,,,,,,,,,,,,,,,,,,
我司是否有投资资产、租赁或人员等情况？目前合同没有终止后可以获得补偿的条款。,,,,,,,,,,,,,,,,,,,,,,,,
4. 其他,,,,,,,,,,,,,,,,,,,,,,,,
（1）客户逾期付款时， SFDSC无留置权 ,,,,,,,,,,,,,,,,,,,,,,,,
（2）关于账期：付款账期没有明确，付款方式请和财务确认。,,,,,,,,,,,,,,,,,,,,,,,,
"是否需要上LEVEL B, 请咨询CCM, 法务这边目前有两点，未排除间接损失，没有责任上限。",,,,,,,,,,,,,,,,,,,,,,,,
风控建议：,,,,,,,,,,,,,,,,,,,,,,,,
一、赔偿责任限额：,,,,,,,,,,,,,,,,,,,,,,,,
"对于仓储服务，合同未约定赔偿责任上限，即SF DSC须对货物损失承担全额赔偿责任；但是鉴于仓储货物的最大货值为CNY6,000,000，SF DSC的物流责任保险可以对货物损失超过免赔额（每次事故CNY 100,000或损失金额的10%，以高者为准）的部分全额赔偿。",,,,,,,,,,,,,,,,,,,,,,,,
二、赔偿计价基础：,,,,,,,,,,,,,,,,,,,,,,,,
合同约定货物损失赔偿的计价基础为“市场价格”，其中包含了客户的销售利润，而销售利润属于“间接损失”，由SF DSC承担不合理。,,,,,,,,,,,,,,,,,,,,,,,,
三、不可保风险：,,,,,,,,,,,,,,,,,,,,,,,,
a)    SF DSC的物流责任保险不赔偿间接损失。,,,,,,,,,,,,,,,,,,,,,,,,
b)    SF DSC的物流责任保险不赔偿违约金和/或KPI罚金。,,,,,,,,,,,,,,,,,,,,,,,,
c)     SF DSC的物流责任保险不赔偿存货盘点损失和/或神秘失踪。,9.2.3造成退仓或不能入库的，应赔偿甲方损失并支付仓储费总额1%的违约金。,,,,,,,,,,,,,,,,,,,,,,,
