dwd_dsc_d365_opportunity_df.opportunity_number,dwd_dsc_d365_opportunity_df.opportunity_name,dwd_dsc_d365_opportunity_df.account_id,dwd_dsc_d365_opportunity_df.account_name_en,dwd_dsc_d365_opportunity_df.account_name_cn,dwd_dsc_d365_opportunity_df.actual_close_date,dwd_dsc_d365_opportunity_df.annual_average_gross_profit_base,dwd_dsc_d365_opportunity_df.annual_average_gross_profit,dwd_dsc_d365_opportunity_df.annual_average_revenue_base,dwd_dsc_d365_opportunity_df.annual_average_revenue,dwd_dsc_d365_opportunity_df.bca_ref_number,dwd_dsc_d365_opportunity_df.bca_status,dwd_dsc_d365_opportunity_df.bg,dwd_dsc_d365_opportunity_df.commission,dwd_dsc_d365_opportunity_df.contract_end_date,dwd_dsc_d365_opportunity_df.contract_renewal_date,dwd_dsc_d365_opportunity_df.contract_termin_month,dwd_dsc_d365_opportunity_df.contract_term,dwd_dsc_d365_opportunity_df.expected_gain_date,dwd_dsc_d365_opportunity_df.expected_golive_date,dwd_dsc_d365_opportunity_df.gp_prior_year_total,dwd_dsc_d365_opportunity_df.is_proj_mgmt_required,dwd_dsc_d365_opportunity_df.milestone,dwd_dsc_d365_opportunity_df.next_renewal_date,dwd_dsc_d365_opportunity_df.operating_golive_date,dwd_dsc_d365_opportunity_df.opportunity_category,dwd_dsc_d365_opportunity_df.opportunity_creator,dwd_dsc_d365_opportunity_df.opportunity_record,dwd_dsc_d365_opportunity_df.reference_number,dwd_dsc_d365_opportunity_df.opportunity_type,dwd_dsc_d365_opportunity_df.pm_name,dwd_dsc_d365_opportunity_df.product1,dwd_dsc_d365_opportunity_df.product2,dwd_dsc_d365_opportunity_df.product3,dwd_dsc_d365_opportunity_df.product4,dwd_dsc_d365_opportunity_df.cancel_reason,dwd_dsc_d365_opportunity_df.loss_reason,dwd_dsc_d365_opportunity_df.revenue_prior_year_total,dwd_dsc_d365_opportunity_df.salesperson1_pct,dwd_dsc_d365_opportunity_df.salesperson2_pct,dwd_dsc_d365_opportunity_df.salesperson3_pct,dwd_dsc_d365_opportunity_df.salesperson4_pct,dwd_dsc_d365_opportunity_df.salesperson5_pct,dwd_dsc_d365_opportunity_df.salesperson6_pct,dwd_dsc_d365_opportunity_df.salesperson1,dwd_dsc_d365_opportunity_df.salesperson2,dwd_dsc_d365_opportunity_df.salesperson3,dwd_dsc_d365_opportunity_df.salesperson4,dwd_dsc_d365_opportunity_df.salesperson5,dwd_dsc_d365_opportunity_df.salesperson6,dwd_dsc_d365_opportunity_df.sector,dwd_dsc_d365_opportunity_df.subsector,dwd_dsc_d365_opportunity_df.situation_update_next_steps,dwd_dsc_d365_opportunity_df.situation_updated_time,dwd_dsc_d365_opportunity_df.strategic_project,dwd_dsc_d365_opportunity_df.terminate_effective_date,dwd_dsc_d365_opportunity_df.territory,dwd_dsc_d365_opportunity_df.contract_value,dwd_dsc_d365_opportunity_df.currency,dwd_dsc_d365_opportunity_df.description,dwd_dsc_d365_opportunity_df.createdon,dwd_dsc_d365_opportunity_df.modifiedon,dwd_dsc_d365_opportunity_df.bca_approval_date,dwd_dsc_d365_opportunity_df.src_inc_day,dwd_dsc_d365_opportunity_df.contract_signing_approvedon,dwd_dsc_d365_opportunity_df.compliance,dwd_dsc_d365_opportunity_df.non_compliance_reason,dwd_dsc_d365_opportunity_df.fivem_customer
Z002923,Renewal of Chengdu warehouse contr - C1102926,3afd21c4-eb2f-4eb0-89c8-0239f68ac7e2,Mars Wrigley Confectionary,玛氏 箭牌糖果,2020-01-15T00:00:00,0.0,0.0,,,,,,FALSE,,,999.0,999.0,2018-06-29T16:00:00Z,2018-07-30T16:00:00Z,0.0,False,Closed-Canceled,,2018-07-30T16:00:00Z,,Xiaoyu Xu,Change Renewals,274382,Renewal,,,,,,,,0.0,100.0,,,,,,Rick Gong,,,,,,Consumer,,Cancelled due to system update issue Contract Calendar 18th August 2017,,,,China,,CNY,"This is Auto Renewed Opportunity, please provide valid Description",2020-01-12T09:30:50.0000000+00:00,2021-09-23T13:09:21Z,,20211017.0,,Y,,5M
Z002922,Renewal of logistics service agree - C1103345,b0a42536-eac0-4faf-a039-62b5f66bd01c,KERING,开云,2020-01-15T00:00:00,0.0,0.0,,,,,,FALSE,,,36.0,36.0,2018-11-29T16:00:00Z,2018-12-30T16:00:00Z,0.0,False,Closed-Canceled,,2018-12-30T16:00:00Z,,Xiaoyu Xu,Change Renewals,273942,Renewal,,,,,,,,0.0,100.0,,,,,,,,,,,,Retail,,Cancelled due to system update issue Contract Calendar 18th August 2017,,,,China,,CNY,"This is Auto Renewed Opportunity, please provide valid Description",2020-01-12T09:30:49.0000000+00:00,2021-09-23T13:09:19Z,,20211017.0,,Y,,Not 5M
Z003751,Renewal of Shanghai Warehousing Se - C1102278,8e586440-b979-4e9d-9ff3-2a07d7fd4b46,Netrada,奈特达,2020-01-15T00:00:00,0.0,0.0,,,,,,FALSE,,,48.0,48.0,2018-09-29T16:00:00Z,2018-10-30T16:00:00Z,0.0,False,Closed-Canceled,,2018-10-30T16:00:00Z,,Xiaoyu Xu,Change Renewals,274531,Renewal,,,,,,,,0.0,,,,,,,,,,,,,Retail,,Cancelled due to system update issue Contract Calendar 18th August 2017,,,,China,,CNY,"This is Auto Renewed Opportunity, please provide valid Description",2020-01-12T09:47:55.0000000+00:00,2021-09-23T13:23:53Z,,20211017.0,,Y,,Not 5M
Z008907,Renew_格来赛GSP仓储服务合同,adf138f5-8d36-ea11-a813-000d3a85408a,Global Life Sciences Technologies,格来赛生命科技,,33.11,33.11,610.05,610.05,,,LSHC,FALSE,,,,,,2021-03-31T16:00:00Z,,False,Potential Opportunity,,,,Yolanda Wang,Change Renewals,,Renewal,,Transportation,Warehousing,,,,,,,,,,,,,,,,,,Life Sciences & Healthcare,,,,,,China,610.05,CNY,,2020-12-02T05:31:40.0000000+00:00,2020-12-02T05:31:43Z,,20211017.0,,Y,,Not 5M
Z010133,Renew_Amorepacific Contract renewal,974c3696-ef3d-eb11-a813-002248160fab,Amorepacific,愛茉莉太平洋,,8.37,8.37,292.02,292.02,,,HK,FALSE,,,,,,2022-03-01T00:00:00Z,,False,Potential Opportunity,,,,William Tsao,Change Renewals,,Renewal,,Transportation,,,,,,,,,,,,,,,,,,,Retail,,,,False,,Hongkong,292.02,CNY,,2021-09-09T03:31:53.0000000+00:00,2021-09-09T03:31:58Z,,20211017.0,,Y,,Not 5M
Z004842,Renewal of Project Eclipse Warehou - C1103149,d5955437-ad49-41a1-bb67-264f0d0250cc,APPLE,苹果,2020-01-16T00:00:00,0.0,0.0,0.0,0.0,,,HK,FALSE,2019-02-27T16:00:00Z,,36.0,36.0,2019-01-27T16:00:00Z,2019-02-27T16:00:00Z,0.0,False,Closed-Canceled,,2019-02-27T16:00:00Z,,Xiaoyu Xu,Change Renewals,274952,Renewal,,,,,,,,0.0,100.0,,,,,,,,,,,,Technology,,Cancelled due to system update issue Contract Calendar 18th August 2017,,,,Hongkong,,HKD,"This is Auto Renewed Opportunity, please provide valid Description",2020-01-16T03:25:28.0000000+00:00,2021-09-23T13:40:03Z,,20211017.0,,Y,,5M
Z003706,Renewal of logistics service agree - C1103345,b0a42536-eac0-4faf-a039-62b5f66bd01c,KERING,开云,2020-01-15T00:00:00,0.0,0.0,,,,,,FALSE,,,36.0,36.0,2018-11-29T16:00:00Z,2018-12-30T16:00:00Z,0.0,False,Closed-Canceled,,2018-12-30T16:00:00Z,,Xiaoyu Xu,Change Renewals,274490,Renewal,,,,,,,,0.0,100.0,,,,,,,,,,,,Retail,,Cancelled due to system update issue Contract Calendar 18th August 2017,,,,China,,CNY,"This is Auto Renewed Opportunity, please provide valid Description",2020-01-12T09:46:54.0000000+00:00,2021-09-23T13:23:12Z,,20211017.0,,Y,,Not 5M
Z005441,NIANCE Custom&TD&WH Service,463d8398-8c67-ea11-a811-000d3a85408a,NIANCE,妮瑞斯,2020-07-08T00:00:00,67.0,67.0,408.0,408.0,N200102,Approved,CR,TRUE,2021-03-30T00:00:00Z,2021-03-31T00:00:00Z,12.0,12.0,2020-03-16T00:00:00Z,2020-03-31T00:00:00Z,,False,Contract Signed,2021-03-31T00:00:00Z,,,Rick Gong,New Business,,New from New,,Warehousing,Transportation,Customs,,,,,100.0,,,,,,Daisy Yu (SF-DHL CN),,,,,,Consumer,,,,,,China,408.0,CNY,,2020-03-16T13:55:50.0000000+00:00,2021-09-09T08:00:53Z,2020-04-01T12:30:13Z,20211017.0,2020-07-08T01:49:00Z,Y,,Not 5M
Z005223,TLD TRANS,47854f3f-054e-ea11-a812-000d3a85408a,"TLD ASIA(WUXI) CO., LTD",腾达航勤设备,2020-03-26T00:00:00,111.0,111.0,3536.0,3536.0,N190251,Approved,TSC,FALSE,2020-12-30T16:00:00Z,2020-12-31T16:00:00Z,12.0,12.0,2020-02-19T16:00:00Z,2019-12-31T16:00:00Z,,False,Contract Signed,2020-12-31T16:00:00Z,,,Michelle Ye,New Business,,New from New,,Transportation,,,,,,,100.0,,,,,,Xiumin Shan (SF-DHL CN),,,,,,Technology,,,,,,China,3536.0,CNY,,2020-02-13T05:51:53.0000000+00:00,2021-08-22T04:21:54Z,2020-02-17T09:01:29Z,20211017.0,2020-03-26T02:28:00Z,Y,,Not 5M
Z002917,Renewal of Shanghai Warehousing Se - C1102278,8e586440-b979-4e9d-9ff3-2a07d7fd4b46,Netrada,奈特达,2020-01-15T00:00:00,0.0,0.0,,,,,,FALSE,,,48.0,48.0,2018-09-29T16:00:00Z,2018-10-30T16:00:00Z,0.0,False,Closed-Canceled,,2018-10-30T16:00:00Z,,Xiaoyu Xu,Change Renewals,273983,Renewal,,,,,,,,0.0,,,,,,,,,,,,,Retail,,Cancelled due to system update issue Contract Calendar 18th August 2017,,,,China,,CNY,"This is Auto Renewed Opportunity, please provide valid Description",2020-01-12T09:30:44.0000000+00:00,2021-09-23T13:09:14Z,,20211017.0,,Y,,Not 5M
Z002918,Renewal of Netrada_Addendum_AirCon - C1102019,8e586440-b979-4e9d-9ff3-2a07d7fd4b46,Netrada,奈特达,2020-01-15T00:00:00,0.0,0.0,,,,,,FALSE,,,48.0,48.0,2018-09-29T16:00:00Z,2018-10-30T16:00:00Z,0.0,False,Closed-Canceled,,2018-10-30T16:00:00Z,,Xiaoyu Xu,Change Renewals,273982,Renewal,,,,,,,,0.0,,,,,,,,,,,,,Retail,,Cancelled due to system update issue Contract Calendar 18th August 2017,,,,China,,CNY,"This is Auto Renewed Opportunity, please provide valid Description",2020-01-12T09:30:45.0000000+00:00,2021-09-23T13:09:15Z,,20211017.0,,Y,,Not 5M
Z004662,Renewal of Specific Service Agreem - C1105804,2b1aa5c8-4139-4e57-81ba-dd10f062cfea,ERICSSON,爱立信,2021-01-06T00:00:00,0.0,0.0,0.0,0.0,,,HK,FALSE,2020-12-28T16:00:00Z,2020-12-29T16:00:00Z,36.0,36.0,2020-11-13T16:00:00Z,2017-12-29T16:00:00Z,0.0,False,Closed-Canceled,2020-12-29T16:00:00Z,2020-12-13T16:00:00Z,,AlvinSC Chan,Change Renewals,288246,Renewal,,Warehousing,,,,,,0.0,100.0,,,,,,,,,,,,Technology,,,,,,Hongkong,,HKD,"This is Auto Renewed Opportunity, please provide valid Description",2020-01-16T03:22:15.0000000+00:00,2021-09-23T13:36:26Z,,20211017.0,,Y,,5M
Z003210,Renewal of Unisys China: Schedule - C965693,59871f88-3307-41e8-a89a-a9caeaad2b3d,UNISYS,优利系统,2020-01-15T00:00:00,0.0,0.0,,,,,,FALSE,,,66.0,66.0,2018-02-27T16:00:00Z,2018-03-30T16:00:00Z,0.0,False,Closed-Canceled,,2018-03-30T16:00:00Z,,Xiaoyu Xu,Change Renewals,274528,Renewal,,,,,,,,0.0,,,,,,,,,,,,,Technology,,Cancelled due to system update issue Contract Calendar 18th August 2017,,,,China,,CNY,"This is Auto Renewed Opportunity, please provide valid Description",2020-01-12T09:36:48.0000000+00:00,2021-09-23T13:14:27Z,,20211017.0,,Y,,Not 5M
Z010237,Renew_北京奔驰汽车,0bfef9e0-ba4a-4f49-8d55-15e5c52cda3d,Beijing Benz Automotive Co,北京奔驰汽车,,,,,,,,GSC,FALSE,,,,,,2022-03-31T16:00:00Z,,False,Potential Opportunity,,,,Yolanda Wang,Change Renewals,,Renewal,,Transportation,,,,,,,,,,,,,,,,,,,Automotive,,,,False,,,,CNY,,2021-10-11T05:33:33.0000000+00:00,2021-10-14T12:39:36Z,,20211017.0,,Y,,Not 5M
Z009061,Renew_南通北京运输,d561b998-f540-eb11-a813-002248160fab,Townsun,江苏汤臣,,237.55,237.55,3009.6,3009.6,,,EM,FALSE,,,,,,2022-01-01T00:00:00Z,,False,Potential Opportunity,,,,Justin Chen2,Change Renewals,,Renewal,,Transportation,,,,,,,,,,,,,,,,,,,Automotive,,,,,,China,3009.6,CNY,,2021-01-05T01:30:46.0000000+00:00,2021-01-05T01:31:00Z,,20211017.0,,Y,,Not 5M
Z009929,Renew_昆仑润滑油太仓仓配项目,89decda4-317b-ea11-a811-000d3a85408a,Kunlun Lube,昆仑润滑油,,-534.83,-534.83,26452.15,26452.15,,,ZQ,FALSE,,,,,,2022-01-01T00:00:00Z,,False,Potential Opportunity,,,,Pengpeng Liu,Change Renewals,,Renewal,,Transportation,Warehousing,,,,,,,,,,,,,,,,,,Energy,,,,False,,China,26452.15,CNY,,2021-07-19T02:31:34.0000000+00:00,2021-07-19T02:31:44Z,,20211017.0,,Y,,Not 5M
Z010217,Renew_In-plant services,24302fb6-06ff-eb11-94ef-002248172211,RF360 Technology,全讯射频科技（无锡）有限公司,,27.58,27.58,380.4,380.4,,,EM,FALSE,,,,,,2022-09-19T16:00:00Z,,False,Potential Opportunity,,,,Justin Chen2,Change Renewals,,Renewal,,Value-added service,,,,,,,,,,,,,,,,,,,Engineering & Manufacturing,,,,False,,China,380.4,CNY,,2021-10-11T04:31:25.0000000+00:00,2021-10-14T12:39:04Z,,20211017.0,,Y,,Not 5M
Z004661,"Renewal of Statement of Work (""""SOW - C1104295",42b8fe92-0933-4875-ab02-fc79268f7da3,CISCO,思科,2021-09-01T00:00:00,0.0,0.0,0.0,0.0,,,HK,FALSE,2019-12-11T16:00:00Z,,12.0,12.0,2019-11-11T16:00:00Z,2019-12-11T16:00:00Z,0.0,False,Contract Signed,,2019-12-11T16:00:00Z,,AlvinSC Chan,Change Renewals,288247,Renewal,,Warehousing,,,,,,0.0,100.0,,,,,,,,,,,,Technology,,,,,,Hongkong,,HKD,"This is Auto Renewed Opportunity, please provide valid Description",2020-01-16T03:22:14.0000000+00:00,2021-09-23T13:36:25Z,,20211017.0,,Y,,5M
Z006092,Renew_Supplemental Agreement (One & Three),1eea207a-aae0-4cf3-a852-47a162d04ce6,Cathay Pacific Airways,国泰航空,,0.0,0.0,0.0,0.0,,,HK,FALSE,,,,,,2020-02-29T16:00:00Z,,False,Potential Opportunity,,,,WilliamWY Lee,Change Renewals,,Renewal,,Warehousing,,,,,,,,,,,,,,,,,,,Engineering & Manufacturing,,,,,,Hongkong,0.0,CNY,,2020-03-30T04:30:50.0000000+00:00,2020-10-13T05:53:59Z,,20211017.0,,Y,,5M
Z009507,Renew_UTC Xiamen Inhouse service renewal,ef80582b-ddbb-42d5-9a4f-6d4252ccdac8,Collins Aerospace,柯林斯宇航,,27.95,27.95,392.81,392.81,,,EM,FALSE,,,,,,2022-03-31T16:00:00Z,,False,Potential Opportunity,,,,Stacie Zhang,Change Renewals,,Renewal,,Other service,,,,,,,,,,,,,,,,,,,Engineering & Manufacturing,,,,False,,China,392.81,CNY,,2021-04-12T06:31:00.0000000+00:00,2021-04-12T06:31:10Z,,20211017.0,,Y,,Not 5M
Z003354,OCSC Shanghai - Parts Service Logistics,7b586e85-4c07-4af4-8ed8-40dc192ae6d1,Otis,奥的斯电梯,2021-02-23T00:00:00,31.59,31.59,684.05,684.05,N210924C1,New,TSC,TRUE,2024-03-01T00:00:00Z,2024-03-02T00:00:00Z,24.0,36.04,2021-02-01T00:00:00Z,2021-08-01T00:00:00Z,,True,Contract Signed,2024-03-02T00:00:00Z,,470000.0,Angela Hou,New Business,278100,New from New,0d92dbb7-3f31-ea11-a812-000d3a8543d6,Warehousing,,,,,,,50.0,50.0,,,,,Hudson Hua (DHL CN),Angela Hou (SF-DHL CN),,,,,Engineering & Manufacturing,,,2021-01-05T02:31:07Z,False,,China,2054.4302,CNY,OTIS China SL DC operation,2020-01-12T09:39:48.0000000+00:00,2021-09-06T01:27:37Z,2021-02-19T22:18:15Z,20211017.0,2021-02-23T02:48:58Z,Y,,Not 5M
Z009205,123,f76c15ad-2664-eb11-a812-0022481634cd,Cytiva,思拓凡,2021-02-02T00:00:00,,,,,,,Other,FALSE,2021-01-30T16:00:00Z,2021-01-31T16:00:00Z,,12.0,2021-02-02T16:00:00Z,2021-01-31T16:00:00Z,,False,Closed-Canceled,,,,Xiaoyu Xu,New Business,,New from New,,,,,,,,,,,,,,,,,,,,,Engineering & Manufacturing,,,,,,,,CNY,,2021-02-02T03:36:03.0000000+00:00,2021-09-23T13:51:00Z,,20211017.0,,Y,,Not 5M
